Rank,Title,IP,Adj. Lifetime Gross,Lifetime Gross,Est. Num Tickets,Year,Budget,Director,Actor,Genre,IMDB ID,Vote Count,Vote Average,Popularity
11,Star Wars: Episode VII - The Force Awakens,Existing IP,1013038460,936662200,108115100,2015,245000000,J.J. Abrams,"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson","Action, Adventure, Sci-Fi",tt2488496,13865,7.4,28.812
16,Avengers: Endgame,Existing IP,892669600,858373000,95268900,2019,356000000,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","Action, Adventure, Drama, Sci-Fi",tt4154796,11389,8.3,38.57
29,The Avengers,Existing IP,720376800,623357900,76881200,2012,220000000,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner","Action, Adventure, Sci-Fi",tt0848228,21584,7.7,37.337
30,Jurassic World,Existing IP,719518500,652270660,76789600,2015,150000000,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins, Judy Greer","Action, Adventure, Sci-Fi",tt0369610,15085,6.6,25.921
31,Black Panther,Existing IP,714671400,700059600,76272300,2018,202003950,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyongo, Danai Gurira","Action, Adventure, Sci-Fi",tt1825683,14336,7.4,34.269
36,Avengers: Infinity War,Existing IP,678572600,678815500,72419700,2018,257698180,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","Action, Adventure, Sci-Fi",tt4154756,16897,8.3,84.768
44,Star Wars: Episode VIII - The Last Jedi,Existing IP,633360450,620181400,67594500,2017,317000000,Rian Johnson,"Daisy Ridley, John Boyega, Mark Hamill, Carrie Fisher","Action, Adventure, Fantasy, Sci-Fi",tt2527336,9926,7,31.73
49,Incredibles 2,Existing IP,621223500,608581760,66299200,2018,182687900,Brad Bird,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner","Action, Adventure, Animation, Comedy, Family, Sci-Fi",tt3606756,7713,7.5,27.521
62,Rogue One: A Star Wars Story,Existing IP,566337800,532177300,60441600,2016,200000000,Gareth Edwards,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen","Action, Adventure, Sci-Fi",tt3748528,10396,7.5,18.872
63,The Lion King,Existing IP,565223700,543638000,60322700,2019,260000000,Jon Favreau,"Donald Glover, BeyoncÃƒÂŒÃƒÂ_ÃƒÂ¥Ã‚Â©, Seth Rogen, Chiwetel Ejiofor","Adventure, Animation, Drama, Family, Musical",tt6105098,4581,7.1,39.216
73,The Dark Knight Rises,Existing IP,539541440,448139100,57581800,2012,250000000,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman","Action, Adventure",tt1345836,15356,7.7,29.26
78,Beauty and the Beast,Existing IP,532199140,504014180,56798200,2017,160000000,Bill Condon,"Emma Watson, Dan Stevens, Luke Evans, Josh Gad","Family, Fantasy, Musical, Romance",tt2771200,11948,6.9,33.335
79,Finding Dory,Existing IP,526201400,486295550,56158100,2016,135060270,"Andrew Stanton, Angus MacLane","Ellen DeGeneres, Albert Brooks, Ed ONeill, Kaitlin Olson","Adventure, Animation, Comedy, Family",tt2277860,8638,7,17.134
88,Star Wars: The Rise of Skywalker,Existing IP,514684740,514684480,54929000,2019,177383870,J.J. Abrams,"Carrie Fisher, Mark Hamill, Adam Driver, Daisy Ridley","Action, Adventure, Fantasy, Sci-Fi",tt2527338,3059,6.5,55.835
101,Avengers: Age of Ultron,Existing IP,499902620,459005860,53351400,2015,250000000,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","Action, Adventure, Sci-Fi",tt2395427,15094,7.3,37.679
102,Toy Story 3,Existing IP,499790180,415004860,53339400,2010,200000000,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty","Adventure, Animation, Comedy, Family, Fantasy",tt0435761,9654,7.8,20.621
106,The Hunger Games: Catching Fire,Existing IP,478943800,424668030,51114600,2013,130000000,Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Philip Seymour Hoffman","Action, Adventure, Sci-Fi, Thriller",tt1951264,12170,7.4,22.097
108,Frozen II,Existing IP,477021100,477020640,50909400,2019,130263360,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff","Adventure, Animation, Comedy, Family, Fantasy, Musical",tt4520988,2614,7.1,124.257
109,The Hunger Games,Existing IP,476589120,408010700,50863300,2012,78000000,Gary Ross,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Stanley Tucci","Action, Adventure, Sci-Fi, Thriller",tt1392170,15790,7.1,12.77
116,Frozen,Original IP,459514180,400738020,49041000,2013,150000000,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad","Adventure, Animation, Comedy, Family, Fantasy, Musical",tt2294629,11199,7.3,44.178
118,Iron Man 3,Existing IP,457717950,409013980,48849300,2013,200000000,Shane Black,"Robert Downey Jr., Guy Pearce, Gwyneth Paltrow, Don Cheadle","Action, Adventure, Sci-Fi",tt1300854,15549,6.9,21.631
120,Harry Potter and the Deathly Hallows: Part 2,Existing IP,451701470,381409300,48207200,2011,169189420,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon","Adventure, Drama, Fantasy, Mystery",tt1201607,12947,8.1,28.13
121,Toy Story 4,Existing IP,451340700,434038000,48168700,2019,120908060,Josh Cooley,"Tom Hanks, Tim Allen, Annie Potts, Tony Hale","Adventure, Animation, Comedy, Family, Fantasy",tt1979376,3772,7.5,31.826
127,Captain Marvel,Existing IP,443884060,426829820,47372900,2019,153433420,"Anna Boden, Ryan Fleck","Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law","Action, Adventure, Sci-Fi",tt4154664,8394,7,39.497
130,Despicable Me 2,Existing IP,439397730,368065380,46894100,2013,76000000,"Pierre Coffin, Chris Renaud","Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove","Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi",tt1690953,7987,6.9,27.483